ip.src	tcp.srcport	ip.dst	tcp.dstport	data.data
192.168.2.2	2200	192.168.1.3	33400	000000bc081f000000330000000b7373682d6564323535313900000020af9b989881ab0a4c12ffe3d4392361b9d844f758ceca245f03d568f70149a70b00000020335bdca4e139ad374d04e627a3d759065542d3e228144b6465cf5ff63486b757000000530000000b7373682d6564323535313900000040adb340b892358e603ccfba35f510a43d16cad0515a1c95a06e4ecc4b3f36e89d33f1405da0a7a905d009d9b7b735355ddb4b32737ef4c8aae82c73b862cb090700000000000000000000000c0a1500000000000000000000ab2c3c1072ddd247d2d71c9331797e8eb59b4fe49588c1433d13b812229f188d54c10bff73503581d1468a5bb35ee1f2cd6397019ee3bd0fc95908cd3600265d3d93c515912e0a6cdeecebbabfb26209e88c4f652f4c34216c9b10ca1b6c33e141fd337127a23957bbd7a411066f498540fce82a85a5b8c9b714b6738ecd2d742a368155e7562ccd6fddee2d2f750bcd99d0b9bcad790de552986de9b76ba533544046cf2db7b23c7dd8c3e8d7b301bfadff5628023fbce6cc1d8396561b65217f864d203299de381d0f442d6e65d45033217502c3c5902018df4085b041f4de23d77941
192.168.1.3	33400	192.168.2.2	2200	
192.168.1.3	33400	192.168.2.2	2200	0000000c0a1500000000000000000000
192.168.2.2	2200	192.168.1.3	33400	
192.168.1.3	33400	192.168.2.2	2200	288b095f6f722fa3bf4535f5f68d8eb252cdfcfdc6c819de11ce426a67cd049884840c3fec43a2d9449a9a90
192.168.2.2	2200	192.168.1.3	33400	
192.168.2.2	2200	192.168.1.3	33400	2699a55b0afff6f00eb6b3174a5d065b54a068ffb8ae00a2d42ffd4ee2b2d6c359802a824c04ba506ca08cf0
192.168.1.3	33400	192.168.2.2	2200	
192.168.1.3	33400	192.168.2.2	2200	946f807b645888036ef40f6242c35af09fbb3ad7eddbcdb3ed2ac72c2583802b2398a8f03df29090d3830ffca6cdd79c61c9e66ed0b69d95f4242934c6fa1ddc67e4c415
192.168.2.2	2200	192.168.1.3	33400	
192.168.2.2	2200	192.168.1.3	33400	4723dbd491042a333ec1e5232e792886f2afc162da017a482c4db4580793f0dbddeaf0d78432b008c0fd66ff68b354e22ac423e2
192.168.1.3	33400	192.168.2.2	2200	
192.168.1.3	33400	192.168.2.2	2200	dcb44b5bf6bb5d87fa2e914870a2282cd9dd2291c664e5d4cce147e281847785d230768966b951040175afee9de50ac434d17f905daa667208f029b300cfdf43302d3b816361daabf900560a96b8ca125e2082e2
192.168.2.2	2200	192.168.1.3	33400	
192.168.2.2	2200	192.168.1.3	33400	a6dfd3af650e452f290241c2a5458bb5313953a2418c9ee1f2777ad6
192.168.1.3	33400	192.168.2.2	2200	3af3ecfbb8f27cdc9736cd2cb4a560f9ec96e2c45ebf918f932d66858b25179e7a1149f50c6ce486d723230a1e5d3afe8ff9757d2dfdba42c42fbe2b59a31a19a36b91c8aff695d9ff1f42c7e285809a68030243c7330dbdf10cd1f62cba4db8dde54a9204171e7a3689eb0c85cb35a6
192.168.2.2	2200	192.168.1.3	33400	
