frame.number	ip.src	tcp.srcport	ip.dst	tcp.dstport
146	192.168.1.3	54082	185.199.110.133	443
147	192.168.1.3	54082	185.199.110.133	443
148	192.168.1.3	54082	185.199.110.133	443
149	192.168.1.3	54082	185.199.110.133	443
150	185.199.110.133	443	192.168.1.3	54082
151	192.168.1.3	54082	185.199.110.133	443
152	185.199.110.133	443	192.168.1.3	54082
153	185.199.110.133	443	192.168.1.3	54082
154	185.199.110.133	443	192.168.1.3	54082
155	192.168.1.3	54082	185.199.110.133	443
156	192.168.1.3	54082	185.199.110.133	443
157	192.168.1.3	54082	185.199.110.133	443
158	185.199.110.133	443	192.168.1.3	54082
159	185.199.110.133	443	192.168.1.3	54082
160	185.199.110.133	443	192.168.1.3	54082
161	192.168.1.3	54082	185.199.110.133	443
162	192.168.1.3	54082	185.199.110.133	443
163	192.168.1.3	54082	185.199.110.133	443
164	185.199.110.133	443	192.168.1.3	54082
165	185.199.110.133	443	192.168.1.3	54082
166	192.168.1.3	54082	185.199.110.133	443
167	192.168.1.3	54082	185.199.110.133	443
168	185.199.110.133	443	192.168.1.3	54082
169	185.199.110.133	443	192.168.1.3	54082
170	185.199.110.133	443	192.168.1.3	54082
171	185.199.110.133	443	192.168.1.3	54082
172	185.199.110.133	443	192.168.1.3	54082
173	192.168.1.3	54082	185.199.110.133	443
174	192.168.1.3	54082	185.199.110.133	443
175	192.168.1.3	54082	185.199.110.133	443
176	192.168.1.3	54082	185.199.110.133	443
177	192.168.1.3	54082	185.199.110.133	443
178	185.199.110.133	443	192.168.1.3	54082
179	185.199.110.133	443	192.168.1.3	54082
180	185.199.110.133	443	192.168.1.3	54082
181	192.168.1.3	54082	185.199.110.133	443
182	192.168.1.3	54082	185.199.110.133	443
183	192.168.1.3	54082	185.199.110.133	443
184	185.199.110.133	443	192.168.1.3	54082
185	185.199.110.133	443	192.168.1.3	54082
186	185.199.110.133	443	192.168.1.3	54082
187	192.168.1.3	54082	185.199.110.133	443
188	192.168.1.3	54082	185.199.110.133	443
189	192.168.1.3	54082	185.199.110.133	443
190	185.199.110.133	443	192.168.1.3	54082
191	185.199.110.133	443	192.168.1.3	54082
192	192.168.1.3	54082	185.199.110.133	443
193	185.199.110.133	443	192.168.1.3	54082
194	192.168.1.3	54082	185.199.110.133	443
195	185.199.110.133	443	192.168.1.3	54082
196	192.168.1.3	54082	185.199.110.133	443
197	192.168.1.3	54082	185.199.110.133	443
198	185.199.110.133	443	192.168.1.3	54082
199	185.199.110.133	443	192.168.1.3	54082
200	185.199.110.133	443	192.168.1.3	54082
201	185.199.110.133	443	192.168.1.3	54082
202	192.168.1.3	54082	185.199.110.133	443
203	185.199.110.133	443	192.168.1.3	54082
204	185.199.110.133	443	192.168.1.3	54082
205	192.168.1.3	54082	185.199.110.133	443
206	192.168.1.3	54082	185.199.110.133	443
207	192.168.1.3	54082	185.199.110.133	443
208	192.168.1.3	54082	185.199.110.133	443
209	192.168.1.3	54082	185.199.110.133	443
210	185.199.110.133	443	192.168.1.3	54082
211	192.168.1.3	54082	185.199.110.133	443
212	185.199.110.133	443	192.168.1.3	54082
213	185.199.110.133	443	192.168.1.3	54082
214	192.168.1.3	54082	185.199.110.133	443
215	192.168.1.3	54082	185.199.110.133	443
216	185.199.110.133	443	192.168.1.3	54082
217	185.199.110.133	443	192.168.1.3	54082
218	192.168.1.3	54082	185.199.110.133	443
219	192.168.1.3	54082	185.199.110.133	443
220	185.199.110.133	443	192.168.1.3	54082
221	192.168.1.3	54082	185.199.110.133	443
222	185.199.110.133	443	192.168.1.3	54082
223	192.168.1.3	54082	185.199.110.133	443
224	185.199.110.133	443	192.168.1.3	54082
225	185.199.110.133	443	192.168.1.3	54082
226	185.199.110.133	443	192.168.1.3	54082
227	192.168.1.3	54082	185.199.110.133	443
228	192.168.1.3	54082	185.199.110.133	443
229	192.168.1.3	54082	185.199.110.133	443
230	185.199.110.133	443	192.168.1.3	54082
231	185.199.110.133	443	192.168.1.3	54082
232	192.168.1.3	54082	185.199.110.133	443
233	192.168.1.3	54082	185.199.110.133	443
234	185.199.110.133	443	192.168.1.3	54082
235	185.199.110.133	443	192.168.1.3	54082
236	185.199.110.133	443	192.168.1.3	54082
237	192.168.1.3	54082	185.199.110.133	443
238	192.168.1.3	54082	185.199.110.133	443
239	185.199.110.133	443	192.168.1.3	54082
240	185.199.110.133	443	192.168.1.3	54082
241	192.168.1.3	54082	185.199.110.133	443
242	192.168.1.3	54082	185.199.110.133	443
243	185.199.110.133	443	192.168.1.3	54082
244	192.168.1.3	54082	185.199.110.133	443
245	185.199.110.133	443	192.168.1.3	54082
246	192.168.1.3	54082	185.199.110.133	443
247	185.199.110.133	443	192.168.1.3	54082
248	185.199.110.133	443	192.168.1.3	54082
249	185.199.110.133	443	192.168.1.3	54082
250	192.168.1.3	54082	185.199.110.133	443
251	185.199.110.133	443	192.168.1.3	54082
252	185.199.110.133	443	192.168.1.3	54082
253	185.199.110.133	443	192.168.1.3	54082
254	192.168.1.3	54082	185.199.110.133	443
255	192.168.1.3	54082	185.199.110.133	443
256	185.199.110.133	443	192.168.1.3	54082
257	185.199.110.133	443	192.168.1.3	54082
258	192.168.1.3	54082	185.199.110.133	443
259	185.199.110.133	443	192.168.1.3	54082
260	185.199.110.133	443	192.168.1.3	54082
261	185.199.110.133	443	192.168.1.3	54082
262	192.168.1.3	54082	185.199.110.133	443
263	192.168.1.3	54082	185.199.110.133	443
264	185.199.110.133	443	192.168.1.3	54082
265	192.168.1.3	54082	185.199.110.133	443
266	185.199.110.133	443	192.168.1.3	54082
267	185.199.110.133	443	192.168.1.3	54082
268	185.199.110.133	443	192.168.1.3	54082
269	192.168.1.3	54082	185.199.110.133	443
270	185.199.110.133	443	192.168.1.3	54082
271	192.168.1.3	54082	185.199.110.133	443
272	185.199.110.133	443	192.168.1.3	54082
273	185.199.110.133	443	192.168.1.3	54082
274	185.199.110.133	443	192.168.1.3	54082
275	185.199.110.133	443	192.168.1.3	54082
276	185.199.110.133	443	192.168.1.3	54082
277	185.199.110.133	443	192.168.1.3	54082
278	185.199.110.133	443	192.168.1.3	54082
279	192.168.1.3	54082	185.199.110.133	443
280	185.199.110.133	443	192.168.1.3	54082
281	192.168.1.3	54082	185.199.110.133	443
282	185.199.110.133	443	192.168.1.3	54082
283	185.199.110.133	443	192.168.1.3	54082
284	185.199.110.133	443	192.168.1.3	54082
285	185.199.110.133	443	192.168.1.3	54082
286	192.168.1.3	54082	185.199.110.133	443
287	185.199.110.133	443	192.168.1.3	54082
288	185.199.110.133	443	192.168.1.3	54082
289	185.199.110.133	443	192.168.1.3	54082
290	185.199.110.133	443	192.168.1.3	54082
291	192.168.1.3	54082	185.199.110.133	443
292	192.168.1.3	54082	185.199.110.133	443
293	185.199.110.133	443	192.168.1.3	54082
294	185.199.110.133	443	192.168.1.3	54082
295	185.199.110.133	443	192.168.1.3	54082
296	185.199.110.133	443	192.168.1.3	54082
297	192.168.1.3	54082	185.199.110.133	443
298	192.168.1.3	54082	185.199.110.133	443
299	192.168.1.3	54082	185.199.110.133	443
300	192.168.1.3	54082	185.199.110.133	443
301	185.199.110.133	443	192.168.1.3	54082
302	185.199.110.133	443	192.168.1.3	54082
303	185.199.110.133	443	192.168.1.3	54082
304	185.199.110.133	443	192.168.1.3	54082
305	185.199.110.133	443	192.168.1.3	54082
306	192.168.1.3	54082	185.199.110.133	443
307	192.168.1.3	54082	185.199.110.133	443
308	192.168.1.3	54082	185.199.110.133	443
309	192.168.1.3	54082	185.199.110.133	443
310	192.168.1.3	54082	185.199.110.133	443
311	185.199.110.133	443	192.168.1.3	54082
312	185.199.110.133	443	192.168.1.3	54082
313	185.199.110.133	443	192.168.1.3	54082
314	192.168.1.3	54082	185.199.110.133	443
315	192.168.1.3	54082	185.199.110.133	443
316	192.168.1.3	54082	185.199.110.133	443
317	185.199.110.133	443	192.168.1.3	54082
318	185.199.110.133	443	192.168.1.3	54082
319	192.168.1.3	54082	185.199.110.133	443
320	192.168.1.3	54082	185.199.110.133	443
321	185.199.110.133	443	192.168.1.3	54082
322	192.168.1.3	54082	185.199.110.133	443
323	185.199.110.133	443	192.168.1.3	54082
324	185.199.110.133	443	192.168.1.3	54082
325	185.199.110.133	443	192.168.1.3	54082
326	185.199.110.133	443	192.168.1.3	54082
327	192.168.1.3	54082	185.199.110.133	443
