ip.src	udp.srcport	ip.dst	udp.dstport	dns.qry.name	dns.qry.type
192.168.1.3	57107	192.168.2.2	53	dnscat.e95601969a07fd5def	16
192.168.2.2	53	192.168.1.3	57107	dnscat.e95601969a07fd5def	16
192.168.1.3	57107	192.168.2.2	53	dnscat.e5a001f6e3911cb25d	16
192.168.2.2	53	192.168.1.3	57107	dnscat.e5a001f6e3911cb25d	16
192.168.1.3	57107	192.168.2.2	53	dnscat.8c6f01969a07fd5def	15
192.168.2.2	53	192.168.1.3	57107	dnscat.8c6f01969a07fd5def	15
192.168.1.3	57107	192.168.2.2	53	dnscat.d11f01f6e3911cb25d	5
192.168.2.2	53	192.168.1.3	57107	dnscat.d11f01f6e3911cb25d	5
192.168.1.3	57107	192.168.2.2	53	dnscat.607301969a07fd5def	5
192.168.2.2	53	192.168.1.3	57107	dnscat.607301969a07fd5def	5
192.168.1.3	57107	192.168.2.2	53	dnscat.f83a01f6e3911cb25d	5
192.168.2.2	53	192.168.1.3	57107	dnscat.f83a01f6e3911cb25d	5
192.168.1.3	57107	192.168.2.2	53	dnscat.943f01969a07fd5def	15
192.168.2.2	53	192.168.1.3	57107	dnscat.943f01969a07fd5def	15
192.168.1.3	57107	192.168.2.2	53	dnscat.783e01f6e3911cb25d	16
192.168.2.2	53	192.168.1.3	57107	dnscat.783e01f6e3911cb25d	16
192.168.1.3	57107	192.168.2.2	53	dnscat.6f7201969a07fd5def	5
192.168.2.2	53	192.168.1.3	57107	dnscat.6f7201969a07fd5def	5
192.168.1.3	57107	192.168.2.2	53	dnscat.0ff101f6e3911cb25d	15
192.168.2.2	53	192.168.1.3	57107	dnscat.0ff101f6e3911cb25d	15
192.168.1.3	57107	192.168.2.2	53	dnscat.a3c601969a07fd5def	5
192.168.2.2	53	192.168.1.3	57107	dnscat.a3c601969a07fd5def	5
192.168.1.3	57107	192.168.2.2	53	dnscat.b65701f6e3911cb25d	15
192.168.2.2	53	192.168.1.3	57107	dnscat.b65701f6e3911cb25d	15
192.168.1.3	57107	192.168.2.2	53	dnscat.c9dd01969a07fd5def	16
192.168.2.2	53	192.168.1.3	57107	dnscat.c9dd01969a07fd5def	16
192.168.1.3	57107	192.168.2.2	53	dnscat.623101f6e3911cb25d	16
192.168.2.2	53	192.168.1.3	57107	dnscat.623101f6e3911cb25d	16
192.168.1.3	57107	192.168.2.2	53	dnscat.40e801969a07fd5def	15
192.168.2.2	53	192.168.1.3	57107	dnscat.40e801969a07fd5def	15
192.168.1.3	57107	192.168.2.2	53	dnscat.dc3801f6e3911cb25d	15
192.168.2.2	53	192.168.1.3	57107	dnscat.dc3801f6e3911cb25d	15
192.168.1.3	57107	192.168.2.2	53	dnscat.602901969a07fd5def	15
192.168.2.2	53	192.168.1.3	57107	dnscat.602901969a07fd5def	15
192.168.1.3	57107	192.168.2.2	53	dnscat.9af601f6e3911cb25d	16
192.168.2.2	53	192.168.1.3	57107	dnscat.9af601f6e3911cb25d	16
192.168.1.3	57107	192.168.2.2	53	dnscat.93a801969a07fd5def	16
